time_microsecond,count
2757875,10
2761667,-10
2763895,10
2769875,10
2775871,10
2781880,10
2787909,10
2791661,-10
2793887,10
2799870,10
2805934,10
2811881,10
2817820,10
2821655,-10
2823801,10
2829897,10
2835919,10
2841929,10
2847899,10
2851659,-10
2853899,10
2859820,10
2865811,10
2871909,10
2877925,10
2881666,-10
2883874,10
2889952,10
2895794,10
2901914,10
2907870,10
2911747,-10
2913805,10
2919807,10
2925882,10
2931892,10
2937874,10
2941666,-10
2943874,10
2949895,10
2955878,10
2961871,10
2967875,10
2971664,-10
2973866,10
2979904,10
2985906,10
2991864,10
2997866,10
2999771,1
3001663,-10
3031672,-10
3061654,-10
3091651,-10
3121667,-10
3151655,-10
3181670,-10
3211657,-10
3241671,-10
3271657,-10
3301670,-10
3331656,-10
3364658,-10
3394671,-10
3424661,-10
3454669,-10
3484657,-10
3514671,-10
3544658,-10
3574673,-10
3604659,-10
3634654,-10
3664659,-10
3694659,-10
3724658,-10
3754658,-10
3784657,-10
3814655,-10
3844660,-10
3874657,-10
3904656,-10
3934654,-10
3964655,-10
3994653,-10
4024657,-10
4054654,-10
4084656,-10
4114654,-10
4144655,-10
4174658,-10
4204661,-10
4234661,-10
4264661,-10
4294659,-10
4324661,-10
4354662,-10
4384675,-10
4414659,-10
4444677,-10
4474658,-10
4504675,-10
4534659,-10
4564675,-10
4594661,-10
4624677,-10
4654659,-10
4684675,-10
4714659,-10
4744674,-10
4774662,-10
4804683,-10
4834658,-10
4864660,-10
4894659,-10
4924658,-10
4954656,-10
4984656,-10
5014658,-10
5044655,-10
5074653,-10
5104668,-10
5134653,-10
5164657,-10
5194655,-10
5224658,-10
5254671,-10
5284656,-10
5314656,-10
5344657,-10
5374655,-10
5404673,-10
5434656,-10
5464660,-10
5494656,-10
5524658,-10
5554656,-10
5584660,-10
5614670,-10
5644658,-10
5674655,-10
5704674,-10
5734658,-10
5764674,-10
5794656,-10
5824656,-10
5854655,-10
5884657,-10
5914653,-10
5944656,-10
5974654,-10
6004656,-10
6034658,-10
6064657,-10
6094655,-10
6124670,-10
6154656,-10
6184658,-10
6214658,-10
6244657,-10
6274657,-10
6304660,-10
6334672,-10
6364659,-10
6394661,-10
6424662,-10
6454658,-10
6484662,-10
6514658,-10
6544659,-10
6574672,-10
6604660,-10
6634670,-10
6664660,-10
6694671,-10
6724661,-10
6754672,-10
6784660,-10
6814657,-10
6844660,-10
6874657,-10
6904660,-10
6934659,-10
6964658,-10
6994656,-10
7024657,-10
7054655,-10
7084656,-10
7114654,-10
7144653,-10
7174656,-10
7204658,-10
7234656,-10
7264657,-10
7294656,-10
7324658,-10
7354657,-10
7384658,-10
7414657,-10
7444675,-10
7474654,-10
7504657,-10
7534669,-10
7567678,-10
7597655,-10
7627655,-10
7657654,-10
7687655,-10
7717653,-10
7747657,-10
7777655,-10
7807658,-10
7837662,-10
7867676,-10
7897657,-10
7927686,-10
7957671,-10
7987654,-10
8017653,-10
8047661,-10
8077657,-10
8107647,-10
8137655,-10
8167660,-10
8197659,-10
8227660,-10
8257659,-10
8287659,-10
8317660,-10
8347681,-10
8377657,-10
8407659,-10
8437657,-10
8467662,-10
8497661,-10
8527661,-10
8557658,-10
8587651,-10
8617657,-10
8647657,-10
8677662,-10
8707673,-10
8737657,-10
8767655,-10
8797656,-10
8827656,-10
8857656,-10
8887655,-10
8917656,-10
8947670,-10
8977656,-10
9007671,-10
9037655,-10
9067668,-10
9097656,-10
9127654,-10
9157655,-10
9187668,-10
9217657,-10
9247694,-10
9277657,-10
9307671,-10
9337658,-10
9367663,-10
9397655,-10
9427657,-10
9457658,-10
9487656,-10
9517658,-10
9547656,-10
9577658,-10
9607648,-10
9637658,-10
9667656,-10
9697658,-10
9727656,-10
9757658,-10
9787672,-10
9817660,-10
9847659,-10
9877671,-10
9907655,-10
9937655,-10
9967673,-10
9997657,-10
10027656,-10
10057660,-10
10087655,-10
10117657,-10
10147655,-10
10177658,-10
10207657,-10
10237658,-10
10267658,-10
10297770,-10
10327658,-10
10357660,-10
10387675,-10
10417659,-10
10447672,-10
10477658,-10
10507656,-10
10537658,-10
10567658,-10
10597657,-10
10627657,-10
10657659,-10
10687659,-10
10717659,-10
10747657,-10
10777656,-10
10807660,-10
10837671,-10
10867659,-10
10897675,-10
10927659,-10
10957673,-10
10987656,-10
11017658,-10
11047654,-10
11077654,-10
11107654,-10
11137653,-10
11167654,-10
11197657,-10
11227654,-10
11257656,-10
11287654,-10
11317654,-10
11347659,-10
11377670,-10
11407654,-10
11437670,-10
11467654,-10
11497669,-10
11527656,-10
11557670,-10
11587656,-10
11617657,-10
11647655,-10
11677657,-10
11707656,-10
11737657,-10
11767656,-10
11797657,-10
11827659,-10
11857671,-10
11887657,-10
11917676,-10
11947657,-10
11977670,-10
12007656,-10
12037654,-10
12067654,-10
12097670,-10
12127655,-10
12157662,-10
12187658,-10
12217672,-10
12247654,-10
12277634,-10
12307685,-10
12337655,-10
12367659,-10
12397655,-10
12427692,-10
12457655,-10
12487672,-10
12517656,-10
12547669,-10
12577657,-10
12607669,-10
12637655,-10
12667669,-10
12697655,-10
12727669,-10
12757655,-10
12787669,-10
12817659,-10
12847674,-10
12877660,-10
12907671,-10
12937657,-10
12967673,-10
12997657,-10
13027670,-10
13057656,-10
13087670,-10
13117654,-10
13147669,-10
13177655,-10
13207656,-10
13237656,-10
13267656,-10
13297655,-10
13327656,-10
13357654,-10
13387656,-10
13417658,-10
13447661,-10
13477672,-10
13507655,-10
13537655,-10
13567654,-10
13597659,-10
13627656,-10
13657657,-10
13687655,-10
13717656,-10
13747657,-10
13777656,-10
13807662,-10
13837672,-10
13867656,-10
13897671,-10
13927655,-10
13957670,-10
13987656,-10
14017670,-10
14047654,-10
14077668,-10
14107653,-10
14137654,-10
14167655,-10
14197656,-10
14227655,-10
14257654,-10
14287655,-10
14317656,-10
14347670,-10
14377655,-10
14407655,-10
14437656,-10
14467656,-10
14497671,-10
14527655,-10
14557670,-10
14587654,-10
14617655,-10
14647654,-10
14677656,-10
14707668,-10
14737655,-10
14767656,-10
14797668,-10
14827655,-10
14857657,-10
14887656,-10
14917659,-10
14947656,-10
14977657,-10
15007657,-10
15010673,-1
